"","Post","Entity","Position","Type","message"
"1","10","Ingrid Waldron","238","Person","RT @water_institute : You still have time to register for tomorrow’s #WorldWaterDay virtual events, including a Cross-Country Checkup on Canada’s #Groundwater, and The Legacy of #EnvironmentalRacism in North America, with special guests Ingrid Waldron &amp; Monica Lewis-Patrick. https://t.co/ZRL2FUCtFV https://t.co/samQGq6AtP"
"2","10","Monica Lewis-Patrick","259","Person","RT @water_institute : You still have time to register for tomorrow’s #WorldWaterDay virtual events, including a Cross-Country Checkup on Canada’s #Groundwater, and The Legacy of #EnvironmentalRacism in North America, with special guests Ingrid Waldron &amp; Monica Lewis-Patrick. https://t.co/ZRL2FUCtFV https://t.co/samQGq6AtP"
"3","10","North America","203","Location","RT @water_institute : You still have time to register for tomorrow’s #WorldWaterDay virtual events, including a Cross-Country Checkup on Canada’s #Groundwater, and The Legacy of #EnvironmentalRacism in North America, with special guests Ingrid Waldron &amp; Monica Lewis-Patrick. https://t.co/ZRL2FUCtFV https://t.co/samQGq6AtP"
"4","100","today","76","Date","All #UWaterloo campuses are open, however please use caution if travelling today. Public transit is running as scheduled and crews have been working to clear snow on campus throughout the night. https://t.co/QcsGn1wgPl"
"5","1000","://t.co/cPU2w5H2N7","84","Date","@WlooWarriors @NACMANews @jmmackay @steve_brooks @acks_d @OUAsport @USPORTSca https://t.co/cPU2w5H2N7"
"6","1001","Delta","41","Organization","#ICYMI: Acceleration of second doses in Delta hot spots, including @RegionWaterloo, starts June 14. 
See details ?? https://t.co/kBNzSJRtFD"
"7","1001","June 14","92","Date","#ICYMI: Acceleration of second doses in Delta hot spots, including @RegionWaterloo, starts June 14. 
See details ?? https://t.co/kBNzSJRtFD"
"8","1003","June 29","81","Date","Join us for a special #IndigenousHistoryMonth event hosted by @uwaterlooHREI on June 29 at 1pm.

The Honourable Murray Sinclair will provide a keynote address, ""The truth is hard. Reconciliation is harder.""

Register today: https://t.co/FDsz5WXxIr https://t.co/62Iok46mMq"
"9","1003","today","218","Date","Join us for a special #IndigenousHistoryMonth event hosted by @uwaterlooHREI on June 29 at 1pm.

The Honourable Murray Sinclair will provide a keynote address, ""The truth is hard. Reconciliation is harder.""

Register today: https://t.co/FDsz5WXxIr https://t.co/62Iok46mMq"
"10","1003","://t.co/62Iok46mMq","254","Date","Join us for a special #IndigenousHistoryMonth event hosted by @uwaterlooHREI on June 29 at 1pm.

The Honourable Murray Sinclair will provide a keynote address, ""The truth is hard. Reconciliation is harder.""

Register today: https://t.co/FDsz5WXxIr https://t.co/62Iok46mMq"
"11","1004","2021","212","Date","Two #UWaterloo students have made @the_logic's annual list of top graduating prospects!

Congratulations Keer Liu @WaterlooMath and Sheha Akbari @WaterlooENG for being named leading innovators from the Class of 2021! ???? 

#UWaterlooGrad https://t.co/7032aRFFPd"
"12","1004","://t.co/7032aRFFPd","245","Date","Two #UWaterloo students have made @the_logic's annual list of top graduating prospects!

Congratulations Keer Liu @WaterlooMath and Sheha Akbari @WaterlooENG for being named leading innovators from the Class of 2021! ???? 

#UWaterlooGrad https://t.co/7032aRFFPd"
"13","1005","Marc Hall","132","Person","""For those people who are struggling or don't feel like they have support, groups like Glow are everything,"" says #UWaterlooAlumni Marc Hall.

For 50 years the Glow Centre has made a difference to thousands of 2SLGBTQ+ folks. 3 alumni share their stories: https://t.co/PU1ggwJHBv https://t.co/fFTcdNbZUQ"
"14","1008","Sunday","120","Date","RT @UW_Wellness : Campus Wellness is shocked and saddened to hear of the terrorist attack in London, Ontario this past Sunday that has led to the senseless deaths of 4 family members. The attack was a deliberate act motivated by anti-Muslim hate. 1/3 https://t.co/UR3BPOeWzE"
"15","1008","London","94","Location","RT @UW_Wellness : Campus Wellness is shocked and saddened to hear of the terrorist attack in London, Ontario this past Sunday that has led to the senseless deaths of 4 family members. The attack was a deliberate act motivated by anti-Muslim hate. 1/3 https://t.co/UR3BPOeWzE"
"16","1008","Ontario","102","Location","RT @UW_Wellness : Campus Wellness is shocked and saddened to hear of the terrorist attack in London, Ontario this past Sunday that has led to the senseless deaths of 4 family members. The attack was a deliberate act motivated by anti-Muslim hate. 1/3 https://t.co/UR3BPOeWzE"
"17","1009","Town Hall","47","Organization","Join us next week for the President’s Virtual Town Hall.

@UWaterlooPres and leaders will share plans to expand in-person experiences in the fall, from operational and safety changes to progress on vaccinations.

?? Tuesday, June 15 | 11 a.m.
? Register https://t.co/JI023PyDs0 https://t.co/yGXIh4NEqi"
"18","1009","next week","9","Date","Join us next week for the President’s Virtual Town Hall.

@UWaterlooPres and leaders will share plans to expand in-person experiences in the fall, from operational and safety changes to progress on vaccinations.

?? Tuesday, June 15 | 11 a.m.
? Register https://t.co/JI023PyDs0 https://t.co/yGXIh4NEqi"
"19","1009","fall","142","Date","Join us next week for the President’s Virtual Town Hall.

@UWaterlooPres and leaders will share plans to expand in-person experiences in the fall, from operational and safety changes to progress on vaccinations.

?? Tuesday, June 15 | 11 a.m.
? Register https://t.co/JI023PyDs0 https://t.co/yGXIh4NEqi"
"20","1009","Tuesday","217","Date","Join us next week for the President’s Virtual Town Hall.

@UWaterlooPres and leaders will share plans to expand in-person experiences in the fall, from operational and safety changes to progress on vaccinations.

?? Tuesday, June 15 | 11 a.m.
? Register https://t.co/JI023PyDs0 https://t.co/yGXIh4NEqi"
"21","1009","June","226","Date","Join us next week for the President’s Virtual Town Hall.

@UWaterlooPres and leaders will share plans to expand in-person experiences in the fall, from operational and safety changes to progress on vaccinations.

?? Tuesday, June 15 | 11 a.m.
? Register https://t.co/JI023PyDs0 https://t.co/yGXIh4NEqi"
"22","1009","15 | 11","231","Date","Join us next week for the President’s Virtual Town Hall.

@UWaterlooPres and leaders will share plans to expand in-person experiences in the fall, from operational and safety changes to progress on vaccinations.

?? Tuesday, June 15 | 11 a.m.
? Register https://t.co/JI023PyDs0 https://t.co/yGXIh4NEqi"
"23","1009","://t.co/JI023PyDs0","260","Date","Join us next week for the President’s Virtual Town Hall.

@UWaterlooPres and leaders will share plans to expand in-person experiences in the fall, from operational and safety changes to progress on vaccinations.

?? Tuesday, June 15 | 11 a.m.
? Register https://t.co/JI023PyDs0 https://t.co/yGXIh4NEqi"
"24","1011","June 19","157","Date","We are looking for 2D art submissions from undergrads, grads and recent alumni (‘16+) to help bring the SLC/PAC Expansion space to life.

Proposals are due June 19. Get the details here: https://t.co/jFjGMkxjhD https://t.co/bbuWySVO17"
"25","1013","Waterloo’s","90","Location","Empowering Indigenous youth in the workplace.

Indigenous and non-Indigenous scholars in Waterloo’s Industrial-Organizational Psychology program have been working with partners to create safe and supportive employment spaces. 

Learn more https://t.co/WDxwTglvcA @uwaterlooARTS https://t.co/9dgml3W0Qm"
"26","1014","2022","74","Date","#UWaterloo is ranked amongst the top 150 universities in the world.

The 2022 @worlduniranking sees Waterloo move up 17 spots in one year, placing 149 amongst 1,300 institutions globally.

Read more: https://t.co/VnoQLVh3st https://t.co/faIHb2eaIV"
"27","1014","1,300","160","Date","#UWaterloo is ranked amongst the top 150 universities in the world.

The 2022 @worlduniranking sees Waterloo move up 17 spots in one year, placing 149 amongst 1,300 institutions globally.

Read more: https://t.co/VnoQLVh3st https://t.co/faIHb2eaIV"
"28","1015","Natural Climate Solutions","70","Organization","RT @climatechangeUW : New science led by @natureunited_ca shows that Natural Climate Solutions can reduce Canada’s emissions by up to 78 megatonnes of CO2e annually in 2030. Study features @UWaterloo peatland experts Maria Strack (@wetland_GHG) &amp; Scott J. Davidson (@ScootJD): https://t.co/chJBN6sX6i https://t.co/GA1z2Wi69j"
"29","1015","Maria Strack","218","Person","RT @climatechangeUW : New science led by @natureunited_ca shows that Natural Climate Solutions can reduce Canada’s emissions by up to 78 megatonnes of CO2e annually in 2030. Study features @UWaterloo peatland experts Maria Strack (@wetland_GHG) &amp; Scott J. Davidson (@ScootJD): https://t.co/chJBN6sX6i https://t.co/GA1z2Wi69j"
